epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4911,6e-05,1,1,7e-05,0,0,0
2,20.2434,3e-05,1,1,7e-05,1.50197e-05,1.50197e-05,1.50197e-05
3,29.3421,4e-05,1,1,6e-05,2.67387e-05,2.67387e-05,2.67387e-05
4,36.9414,3e-05,1,1,5e-05,3.5157e-05,3.5157e-05,3.5157e-05
5,45.2758,3e-05,1,1,4e-05,4.02747e-05,4.02747e-05,4.02747e-05
6,53.2768,2e-05,1,1,3e-05,4.20917e-05,4.20917e-05,4.20917e-05
7,61.3937,5e-05,1,1,3e-05,4.06081e-05,4.06081e-05,4.06081e-05
8,70.7726,1e-05,1,1,3e-05,3.58238e-05,3.58238e-05,3.58238e-05
9,78.358,1e-05,1,1,3e-05,2.77389e-05,2.77389e-05,2.77389e-05
10,87.4162,1e-05,1,1,3e-05,1.63533e-05,1.63533e-05,1.63533e-05
